1.0	0.0	1.3585	-1.215	3.387
1.0	0.0	1.4764	-0.471	3.771
1.0	0.0	1.5525	-1.031	3.202
1.0	0.0	1.4588	-0.753	11.271
1.0	0.0	1.5422	-1.126	3.94
1.0	0.0	1.4719	-1.089	4.19
1.0	0.0	1.5187	-0.189	7.305
1.0	0.0	1.5219	-0.588	3.867
1.0	0.0	1.5229	-1.156	5.342
0.0	0.0	2.0	97.177	16.357
-------------------------------------

1.0	0.0	1.518	197.299	106.134
1.0	0.0	1.518	197.299	111.774
1.0	0.0	1.518	197.299	122.628
1.0	0.0	1.518	197.299	114.762
1.0	0.0	1.518	197.299	120.414
1.0	0.0	1.518	197.299	110.289
1.0	0.0	1.518	197.299	123.347
1.0	0.0	1.518	197.299	115.218
1.0	0.0	1.518	197.299	126.995
1.0	0.0	1.518	197.299	166.165


1.0	0.0	1.0404	199.202	104.961
1.0	0.0	1.0001	197.527	131.233
1.0	0.0	1.0024	197.804	130.246
1.0	0.0	1.009	197.98	138.769
0.0	1.0	0.3981	0.398	138.434
0.0	0.0	1.9866	295.778	1329.364
0.0	0.0	1.9765	294.255	2251.089
0.0	0.0	1.9864	294.685	2230.453
1.0	0.0	1.2237	196.717	2280.456
0.0	0.0	0.9772	295.603	3694.392
