0.0927,0.819
0.0988,0.802
0.105,0.786
0.111,0.815
0.117,0.799
0.124,0.802
0.13,0.818
0.136,0.801
0.142,0.797
0.148,0.811
0.155,0.807
0.161,0.809
0.167,0.797
0.173,0.803
0.179,0.819
0.186,0.804
0.192,0.822
0.198,0.821
0.204,0.813
0.21,0.807
0.217,0.815
0.223,0.798
0.229,0.814
0.235,0.811
0.241,0.808
0.248,0.823
0.254,0.82
0.26,0.8
0.266,0.812
0.272,0.812
0.279,0.809
0.285,0.821
0.291,0.816
0.297,0.816
0.303,0.806
0.31,0.806
0.316,0.794
0.322,0.816
0.328,0.814
0.334,0.811
0.341,0.819
0.347,0.824
0.353,0.821
0.359,0.824
0.365,0.823
0.372,0.812
0.378,0.819
0.384,0.831
0.39,0.816
0.396,0.83
0.403,0.814
0.409,0.82
0.415,0.808
0.421,0.813
0.427,0.809
0.433,0.809
0.44,0.805
0.446,0.814
0.452,0.804
0.458,0.805
0.464,0.803
0.471,0.802
0.477,0.82
0.483,0.837
0.489,0.813
0.495,0.801
0.502,0.823
0.508,0.801
0.514,0.795
0.52,0.843
0.526,0.827
0.533,0.827
0.539,0.818
0.545,0.811
0.551,0.816
0.557,0.842
0.564,0.801
0.57,0.806
0.576,0.815
0.582,0.835
0.588,0.813
0.595,0.803
0.601,0.804
0.607,0.815
0.613,0.805
0.619,0.824
0.626,0.816
0.632,0.818
0.638,0.805
0.644,0.821
0.65,0.806
0.657,0.821
0.663,0.82
0.669,0.815
0.675,0.815
0.681,0.814
0.688,0.804
0.694,0.804
0.7,0.809
0.706,0.816
0.712,0.821
0.719,0.808
0.725,0.824
0.731,0.807
0.737,0.797
0.743,0.821
0.75,0.811
0.756,0.84
0.762,0.812
0.768,0.811
0.774,0.822
0.781,0.816
0.787,0.815
0.793,0.823
0.799,0.814
0.805,0.822
0.812,0.799
0.297,0.604
0.299,0.634
0.301,0.618
0.303,0.63
0.305,0.635
0.307,0.619
0.309,0.637
0.311,0.614
0.313,0.641
0.315,0.619
0.317,0.624
0.319,0.627
0.321,0.613
0.323,0.608
0.325,0.617
0.327,0.614
0.329,0.624
0.331,0.618
0.332,0.625
0.334,0.621
0.336,0.63
0.338,0.628
0.34,0.646
0.342,0.612
0.344,0.604
0.346,0.611
0.348,0.626
0.35,0.612
0.352,0.623
0.354,0.629
0.356,0.623
0.358,0.621
0.36,0.62
0.362,0.631
0.364,0.627
0.366,0.619
0.368,0.617
