-1.96,3.88,-6.42,-3.72,4.08,-10,-4.74
-2.13,4.02,-5.08,-5.21,3.52,7.96,2.96
-1.88,3.91,-4.38,-6.75,6.49,-8.86,-0.653
-1.92,3.92,-5.6,-5.01,6.63,5.32,-3.49
-2.05,3.89,-4.18,-4.92,8.1,-6.22,0.301
-2.07,4,-5.25,-4.98,-8.18,3.48,-6.09
-1.83,4.06,-4.78,-5.29,8.82,-8.17,1.8
-1.91,3.91,-3.03,-3.29,-5.88,-2.57,2.56
-1.9,4.01,-4.59,-3.8,-9.87,-5.14,1.83
-1.93,4.15,-4.8,-7.54,2.25,-5.9,-4.95
-2.14,4.18,-4.46,-5.2,-6.95,-1.62,2.16
-1.98,4.1,-6.35,-4.14,1.66,2.14,-8.51
-1.9,4,-4.71,-4.17,-9.2,9.25,4.57
-1.87,4.08,-4.92,-5.74,-8.6,-4.11,2.97
-1.81,3.97,-3.46,-4.41,-0.241,3.23,-1.85
-1.97,3.92,-4.66,-3.81,4.05,-3.02,-5.43
-2.12,3.89,-3.57,-6.71,3.25,2.45,-0.203
-1.95,3.94,-5.53,-5.41,6,-0.91,9.68
-1.97,4.13,-5.99,-6.71,5.28,-2.62,-6.24
-1.98,3.74,-3.51,-4.8,4.88,-0.0453,-0.899
-2.08,3.95,-4.51,-5.78,-2.38,-0.599,-5.48
-1.86,3.86,-3.84,-6.34,2.85,-7.95,-5.4
-2.06,4.09,-4.62,-3.82,-7.62,-9.83,4.17
-1.91,3.87,-3.97,-6.03,6.73,-2.67,8.62
-1.89,3.98,-4.72,-4.83,2.95,3.81,9.8
-1.9,3.84,-5.11,-3.83,7.58,-2.48,3.55
-2.15,3.91,-5.2,-5.91,-4.26,-3.52,-3.22
-2.03,3.81,-5.6,-5.41,3.19,-0.805,2.26
-1.97,3.87,-3.32,-5.13,-2.64,-5.75,9.3
-2.18,3.87,-4.64,-5.36,-0.227,-1.45,-6.77
-2,3.81,-5.04,-5.31,8.59,-4.87,-5.02
-1.92,3.79,-5.81,-3.02,7,3.16,4.62
-1.77,3.76,-4.81,-8.34,8.22,4.93,2.83
-1.96,4.04,-4.61,-5.65,2.67,2.07,3.63
-2.15,3.87,-5.18,-5.56,-9.28,-5.39,2.28
