-1.96,4.12,-4.74,-5.01
-1.99,3.7,-5.61,-5.03
-1.76,3.35,-5.7,-6.2
-1.97,3.22,-5.28,-5.84
-1.78,2.72,-6.36,-4.42
-1.65,2.72,-6.38,-3.71
-1.44,2.29,-3.68,-3.09
-1.36,2.19,-4.84,-4.78
-1.4,1.8,-4.69,-5.8
-1.34,1.65,-5.72,-3.88
-1.04,1.34,-5.28,-5.24
-1.08,1.14,-5.71,-4.07
-1.04,1.09,-5.35,-5.33
-0.914,0.851,-4.8,-5.57
-0.785,0.875,-4.78,-3.7
-0.732,0.639,-2.7,-4.65
-0.608,0.465,-5.29,-5.81
-0.632,0.326,-5.43,-2.59
-0.43,0.298,-4.66,-3.87
-0.491,0.232,-4.35,-4.6
-0.461,0.0548,-4.24,-5.5
-0.225,-0.128,-5.12,-6.64
-0.0575,-0.0391,-5.66,-3.89
-0.178,-0.177,-5.4,-6.22
0.0518,0.0531,-4.7,-7.58
0.0617,-0.0665,-5.36,-5.01
-0.00763,-0.145,-6.26,-7.1
0.0297,0.0326,-5.13,-5
0.335,0.198,-2.66,-4.67
0.386,0.0349,-3.01,-6.2
0.468,0.126,-4.19,-6.45
0.5,0.292,-4.74,-4.16
0.619,0.323,-5.29,-6.21
0.88,0.396,-4.27,-5.89
0.968,0.732,-4.16,-5.78
1.1,0.754,-3.57,-6.14
0.945,0.968,-5.9,-5.54
0.757,1.17,-4.53,-4.55
1.11,1.25,-6.46,-5.53
1.26,1.38,-4.05,-4.95
1.22,1.55,-3.43,-6.26
1.27,1.81,-4.88,-6.72
1.62,2.06,-5.42,-2.62
1.63,2.2,-4.15,-5.03
1.76,2.67,-4.83,-4.97
1.71,2.88,-4.64,-5.75
1.8,2.98,-3.26,-4.9
1.86,3.43,-6.38,-4.38
1.62,3.49,-4.85,-3.73
1.73,3.96,-4.96,-4.19
-2.05,4.26,4.02,5.94
-1.97,3.77,4.25,4.83
-1.83,3.39,3.67,2.85
-1.75,2.93,7.28,4.6
-1.51,3,5.35,4.57
-1.58,2.68,3.67,3.87
-1.66,2.29,5.5,5.85
-1.41,1.96,4.19,4.42
-1.25,1.85,4.14,5.52
-1.26,1.76,4.73,4.77
-1.13,1.32,6.66,5.21
-1.28,1.35,6.32,4.16
-1.1,0.982,6.23,5.99
-0.79,0.747,6,4.55
-0.918,0.785,4.99,4.68
-0.83,0.643,4.67,3.79
-0.862,0.462,4.68,5.45
-0.634,0.391,4.48,5.37
-0.516,0.119,3.67,6.9
-0.537,0.341,5.07,6.68
-0.456,0.174,4.14,5.65
-0.371,-0.0608,4.72,5.17
-0.104,0.195,5.95,6.02
-0.302,0.0485,4.94,4.32
-0.0109,-0.0474,4.08,3.64
0.00647,0.0285,4.79,4.96
0.0417,-0.0168,3.53,6.21
0.115,0.126,6.33,2.99
0.301,0.075,4.27,3.86
0.413,0.24,5.26,5.6
0.49,0.251,5.64,4.82
0.629,0.285,4.3,6.54
0.526,0.311,5.86,6
0.803,0.524,5.1,5.99
0.713,0.485,5.64,5.36
0.809,0.646,5.4,6.57
0.977,0.916,3.34,5.51
1.07,1.09,3.85,4.56
1.06,1.26,4.12,4.77
1.21,1.55,5.38,4.12
1.43,1.54,4.52,4.88
1.43,1.74,4.39,7.59
1.38,1.98,5.6,6.37
1.44,2.26,4.82,5.71
1.7,2.55,3.96,4.26
1.67,2.93,4.91,4.06
1.7,3.13,5.56,5.57
1.77,3.54,3.55,5.19
1.81,3.77,5.47,6.62
1.99,4.17,4.98,5.9
0.0442,2.38,4.68,3.09
-0.00255,2.86,5.3,4.96
0.204,3.2,4.58,4.52
0.499,3.59,4.35,3.15
0.287,4.03,4.81,3.43
0.294,4.5,4.29,3.12
0.57,4.91,4.31,5.42
0.628,5.01,5.09,6.98
0.653,5.51,4.83,4.49
0.77,5.67,5.05,4.27
0.994,6.07,6.05,6.52
0.934,6.34,5.23,5.36
1.05,6.66,4.22,5.62
0.979,6.58,3.86,4.24
1.26,6.93,6.34,5.65
1.21,7.38,6.12,5.28
1.3,7.39,5.48,5.26
1.56,7.55,6.69,4.19
1.55,7.48,5.12,5.84
1.58,7.79,6.97,5.19
1.6,7.7,5.14,4.74
1.94,7.97,5.07,6.6
1.69,7.98,5.76,3.94
1.79,7.92,5.83,5.05
2.09,7.9,3.22,6.66
1.94,8.03,5.57,2.62
2.13,7.99,4.58,3.85
2.14,7.93,4.2,3.94
2.38,7.9,4.46,6.38
2.38,7.81,5.92,4.47
2.38,7.63,4.41,5.21
2.51,7.52,7.51,4.67
2.64,7.29,4.93,4.55
2.67,7.25,4.73,6.68
2.8,7.12,5.81,5.26
2.87,7.13,5.87,4.16
2.93,6.68,5.39,4.14
3.06,6.58,4.61,4.93
2.97,6.3,6,5.49
3.36,5.96,5.45,6.49
3.31,5.78,5.9,5.78
3.54,5.44,5.43,5.24
3.27,5.14,3.53,3.86
3.66,4.75,4.97,6.37
3.6,4.31,6.4,5.83
3.66,4.18,2.6,4.03
3.67,3.62,4.19,6.16
3.78,3.28,5.9,4.92
3.86,2.92,4.29,4.84
3.87,2.37,5.45,3.97
0.0202,2.31,-3.89,-4.83
0.395,2.72,-6.33,-3.89
0.249,3.34,-6.47,-6.34
0.182,3.67,-6.27,-3.88
0.324,3.97,-4.47,-4.15
0.386,4.51,-4.73,-5.07
0.41,4.82,-3.37,-4.51
