-2.07,4.2,-4.69,-2.94,-5.84,-5.58,-7.85
-2.11,3.74,-5.05,-4.88,-2.56,8.32,6.18
-1.94,3.9,-6.15,-5.48,-3.5,5.89,1
-1.83,3.75,-4.64,-4.08,-9.05,-8.32,-1.56
-2.1,3.69,-5.51,-6.37,-1.89,-0.516,-8.49
-1.82,3.66,-5.41,-6.14,7.82,0.033,-4.97
-1.93,3.54,-3.69,-6.25,0.974,-0.967,1.41
-2.01,3.48,-5.07,-6.89,3.82,0.0956,-5.47
-1.84,3.43,-4.91,-4.98,9.46,-5.7,5.19
-1.88,3.46,-6.24,-4.43,2.4,5.77,2.33
-1.99,3.34,-4.23,-4.11,5.83,9.78,1.17
-1.96,3.21,-6.23,-4.32,-9.97,-0.28,6.94
-1.86,3.3,-4.25,-3.5,-4.91,3.5,7.39
-1.83,3.24,-4.97,-6.66,8.02,8.78,1.85
-1.76,3.27,-6.51,-6.69,-6,-7.66,-5.68
-1.71,2.98,-4.98,-5.84,6,3.43,-5.37
-1.62,3.17,-5.79,-6.82,-8.45,3.45,-6.28
-1.6,2.95,-3.43,-4.37,8.53,1.04,-9.43
-1.85,2.78,-4.31,-4.33,-8.1,-3.9,-5.92
-1.73,2.94,-6.06,-5.82,8.57,2.22,-2.76
-1.68,2.81,-5.68,-5.38,0.565,4.35,1.78
-1.72,2.92,-4.63,-4.92,1.8,-9.55,-4.27
-1.65,2.76,-3.91,-5.4,7.35,5.1,-0.901
-1.56,2.67,-5.25,-4.81,9.49,-8.4,-1.29
-1.59,2.55,-4.68,-6.8,9.63,-0.74,3.34
-1.47,2.28,-4.56,-3.57,-6.63,9.72,-6.84
-1.48,2.44,-5.38,-4.9,-5.22,-1.03,8.85
-1.72,2.51,-4.16,-6.36,9.53,2.5,-4.2
-1.64,2.19,-3.92,-5.87,-8.52,-6.36,9.11
-1.48,2.41,-4.03,-4.04,9.5,-0.26,1.56
-1.44,2.37,-5.97,-2.76,7.29,-0.848,8.01
-1.46,2.23,-5.22,-5.14,-5.41,-7.9,-2.53
-1.59,2.2,-5.08,-5.29,6.67,-4.81,0.562
-1.32,2.16,-3.19,-2.18,3.72,2.04,-5.98
-1.32,2.11,-7.27,-4.52,4.92,-7.48,4.63
-1.53,2.04,-2.77,-5.54,-7.82,3.31,3.48
-1.49,1.98,-4.05,-3.83,-4.97,-8.68,6.45
-1.35,2.18,-5.65,-3.92,-2.85,-1.56,-3.76
-1.26,1.75,-4.35,-4.21,9.3,9.97,3.93
-1.31,1.95,-5.81,-5.62,9.8,6.34,3.77
-1.21,1.91,-4.96,-5.59,-2.06,6.66,-4.05
-1.19,1.73,-5.31,-3.87,-6.74,1.96,-7.23
-1.3,1.78,-4.66,-5.86,5.22,-9.55,-2.77
-1.25,1.73,-4.01,-5.45,-3.62,8.11,-7.98
-1.39,1.6,-5.3,-8.09,-1.99,-6.47,0.159
-1.37,1.77,-4.13,-6.93,9.28,-6.23,-5.44
-1.08,1.9,-3.62,-5.15,-0.457,-8.61,-9.95
-1.29,1.58,-5.55,-4.44,4.01,9.69,-4.23
-1.3,1.66,-3.95,-3.47,6.92,-5.24,-5.26
-1.25,1.42,-4.17,-4.48,6.17,-8.39,-0.227
-1.15,1.56,-5.36,-3.75,6.87,6.62,3.35
-1.25,1.49,-5.37,-4.71,-3.18,4.36,-0.958
-1.32,1.35,-5.92,-5.2,5.61,1.18,-7.14
-1.2,1.12,-5.55,-5.35,-7.83,-3.23,6.96
-0.837,1.3,-4.34,-5.77,4.73,-6.87,1.3
-1.1,1.41,-2.71,-5.02,7.34,-1.8,-4.52
-1.09,1.23,-4.62,-4.05,-3.27,-2.08,7.71
-0.977,1.34,-5.89,-5.1,4.57,6.19,-6.45
-1.17,1.07,-7.18,-6.59,-8.69,7.09,1.42
-1.14,0.991,-4.97,-4.59,0.471,-0.689,1.98
-1.02,1.43,-4.18,-5.77,-9.31,1.1,4.48
