1000	ISM	66.823	-0.762	0.762	1.0	0.0
1000	SM	266.116	-0.705	0.747	0.077	0.002
1000	SM	434.0	-0.591	0.617	1.0	0.0
1000	SM	444.171	-0.42	0.424	0.029	0.002
1000	SM	434.926	-0.612	0.616	1.0	0.0
1000	SM	438.681	-0.706	0.732	1.0	0.0
1000	SM	438.537	-0.73	0.733	1.0	0.0
1000	SM	448.14	-0.707	0.747	0.034	0.002
1000	SM	445.803	-0.677	0.827	0.003	0.0
1000	SM	461.403	-0.666	0.755	0.013	0.001
1000	SM	459.436	-0.503	0.516	1.0	0.0
1000	DG	10624.785	0.109	0.009	0.0	0.0
1000	DG	18589.477	3.593	0.034	0.0	0.0
1000	DG	18571.34	82.408	0.218	0.516	0.06
1000	DG	18589.37	100.353	0.303	0.039	0.002
1000	DG	18661.678	76.985	0.247	0.047	0.001
1000	DG	18721.476	39.762	0.111	0.092	0.004
1000	DG	18864.272	0.043	0.008	0.0	0.0
1000	DG	19097.73	14.315	0.061	0.028	0.003
1000	DG	19333.393	7.115	0.036	0.002	0.002
1000	DG	19539.52	3.697	0.049	0.002	0.002
