700	ISM	10.512	4.806	1.996	1.0	0.0
700	SM	28.523	24.675	1.988	0.0	0.0
700	SM	102.399	19.418	1.995	1.0	0.0
700	SM	62.376	13.165	1.975	0.104	0.0
700	SM	141.485	20.96	1.996	1.0	0.0
700	SM	115.229	24.703	1.985	0.017	0.0
700	SM	136.191	16.95	1.995	1.0	0.0
700	SM	128.693	19.518	1.993	0.599	0.0
700	SM	92.441	13.101	1.955	0.243	0.0
700	SM	153.748	23.264	1.986	0.002	0.0
700	SM	86.392	18.532	1.982	0.0	0.0
700	SM	108.787	22.964	1.988	0.0	0.0
700	DG	1102.51	26.613	0.583	0.0	1.0
700	DG	2315.361	14.808	0.493	0.0	0.986
700	DG	2373.655	26.771	0.447	0.0	0.005
700	DG	2757.737	52.136	0.566	0.0	1.0
700	DG	7593.23	47.921	1.016	0.0	0.975
700	DG	7873.888	348.282	1.744	0.921	0.0
700	DG	8036.252	15.84	0.319	0.0	0.95
700	DG	8243.764	54.522	0.542	0.0	0.986
700	DG	8311.309	54.522	0.542	0.0	0.986
700	DG	9063.414	52.131	0.605	0.0	1.0
